id,avg_amount,price_min,price_max,max_gift_amount,reference_amount_low,reference_amount_high,discount_rate,config_id,config_name,status,created_at,updated_at
1,100,0,600,200,0,390,6500,N001,超低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
2,200,600,900,300,390,585,6500,N002,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
3,300,900,1100,400,585,715,6500,N003,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
4,400,1100,1200,500,715,780,6500,N004,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
5,500,1200,1400,600,780,910,6500,N005,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
6,600,1400,1600,700,910,1040,6500,N006,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
7,700,1600,1800,800,1040,1170,6500,N007,低价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
8,800,1800,2000,900,1170,1300,6500,N008,高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
9,900,2000,2400,1000,1300,1560,6500,N009,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
10,1000,2400,2700,1200,1560,1755,6500,N010,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
11,1200,2700,3200,1400,1755,2080,6500,N011,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
12,1200,3200,3700,1400,2080,2405,6500,N012,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
13,1400,3700,4100,1600,2405,2665,6500,N013,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
14,1400,4100,4600,1600,2665,2990,6500,N014,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
15,1500,4600,5100,1700,2990,3315,6500,N015,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
16,1700,5100,5400,1900,3315,3510,6500,N016,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
17,1900,5400,5900,2100,3510,3835,6500,N017,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
18,2100,5900,6400,2300,3835,4160,6500,N018,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
19,2300,6400,6900,2500,4160,4485,6500,N019,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
20,2500,6900,7400,2700,4485,4810,6500,N020,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
21,2700,7400,7900,2900,4810,5135,6500,N021,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
22,2900,7900,8400,3100,5135,5460,6500,N022,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
23,3100,8400,8900,3300,5460,5785,6500,N023,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
24,3300,8900,9400,3500,5785,6110,6500,N024,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
25,3500,9400,9900,3700,6110,6435,6500,N025,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
26,3700,9900,10400,3900,6435,6760,6500,N026,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
27,3900,10400,10900,4100,6760,7085,6500,N027,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
28,4100,10900,11400,4300,7085,7410,6500,N028,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
29,4300,11400,11900,4500,7410,7735,6500,N029,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
30,4500,11900,12400,4700,7735,8060,6500,N030,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
31,4700,12400,12900,4900,8060,8385,6500,N031,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
32,4900,12900,13400,5100,8385,8710,6500,N032,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
33,5600,13400,13900,5800,8710,9035,6500,N033,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
34,5800,13900,14400,6000,9035,9360,6500,N034,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
35,6000,14400,14900,6200,9360,9685,6500,N035,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
36,6200,14900,15400,6400,9685,10010,6500,N036,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
37,6400,15400,15900,6600,10010,10335,6500,N037,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
38,6600,15900,16400,6800,10335,10660,6500,N038,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
39,6800,16400,16900,7000,10660,10985,6500,N039,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
40,7000,16900,17400,7200,10985,11310,6500,N040,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
41,7200,17400,17900,7400,11310,11635,6500,N041,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
42,7400,17900,18400,7600,11635,11960,6500,N042,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
43,7600,18400,18900,7800,11960,12285,6500,N043,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
44,7800,18900,19400,8000,12285,12610,6500,N044,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
45,8000,19400,19900,8200,12610,12935,6500,N045,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
46,8200,19900,20400,8400,12935,13260,6500,N046,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
47,8400,20400,20900,8600,13260,13585,6500,N047,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
