id,price_min,price_max,threshold_amount,discount_amount,discount_rate,discount_strength,priority,config_id,config_name,status,discount_type,recommended_quantity,created_at,updated_at
1,0,300,500,100,,8000,1,D001,大促超低价满减1,启用,满减,4,2025-12-12 12:01:41,2025-12-12 12:01:41
2,300,400,400,100,,7500,1,D002,大促超低价满减2,启用,满减,3,2025-12-12 12:01:41,2025-12-12 12:01:41
3,400,450,500,200,,6000,1,D003,大促超低价满减3,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
4,450,550,800,200,,7500,1,D004,大促超低价满减4,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
5,550,650,700,200,,7100,1,D005,大促超低价满减5,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
6,650,750,800,200,,7500,1,D006,大促超低价满减6,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
7,750,850,1500,500,,6700,1,D007,大促超低价满减7,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
8,850,950,1500,600,,6000,1,D008,大促超低价满减8,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
9,950,1000,1500,600,,6000,1,D009,大促超低价满减9,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
10,1000,1100,2000,700,,6500,1,D010,大促超低价满减10,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
11,1100,1200,2000,900,,5500,1,D011,大促超低价满减11,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
12,1200,1300,2000,900,,5500,1,D012,大促超低价满减12,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
13,1300,1400,2500,1000,,6000,1,D013,大促超低价满减13,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
14,1400,1500,2500,1000,,6000,1,D014,大促超低价满减14,启用,满减,2,2025-12-12 12:01:41,2025-12-12 12:01:41
15,1500,2500,,100,7500,7500,2,D015,大促低价折扣,启用,折扣,1,2025-12-12 12:01:41,2025-12-12 12:01:41
16,2500,10000,,100,7500,7500,4,D016,大促高价折扣,启用,折扣,1,2025-12-12 12:01:41,2025-12-12 12:01:41
17,10000,999900,,100,7500,7500,5,D017,大促高客单折扣,启用,折扣,1,2025-12-12 12:01:41,2025-12-12 12:01:41
