id,price_min,price_max,multiplier,created_at,updated_at
1,50,100,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
2,100,150,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
3,150,200,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
4,200,250,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
5,250,300,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
6,300,350,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
7,350,400,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
8,400,450,40000,2025-12-12 12:01:41,2025-12-12 12:01:41
9,450,500,38000,2025-12-12 12:01:41,2025-12-12 12:01:41
10,500,550,38000,2025-12-12 12:01:41,2025-12-12 12:01:41
11,550,600,36000,2025-12-12 12:01:41,2025-12-12 12:01:41
12,600,650,36000,2025-12-12 12:01:41,2025-12-12 12:01:41
13,650,700,35000,2025-12-12 12:01:41,2025-12-12 12:01:41
14,700,750,35000,2025-12-12 12:01:41,2025-12-12 12:01:41
15,750,800,33000,2025-12-12 12:01:41,2025-12-12 12:01:41
16,800,850,33000,2025-12-12 12:01:41,2025-12-12 12:01:41
17,850,900,33000,2025-12-12 12:01:41,2025-12-12 12:01:41
18,900,950,33000,2025-12-12 12:01:41,2025-12-12 12:01:41
19,950,1000,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
20,1000,1050,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
21,1050,1100,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
22,1100,1150,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
23,1150,1200,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
24,1200,1250,32000,2025-12-12 12:01:41,2025-12-12 12:01:41
25,1250,1300,30000,2025-12-12 12:01:41,2025-12-12 12:01:41
26,1300,1350,30000,2025-12-12 12:01:41,2025-12-12 12:01:41
27,1350,1400,30000,2025-12-12 12:01:41,2025-12-12 12:01:41
28,1400,1450,30000,2025-12-12 12:01:41,2025-12-12 12:01:41
29,1450,1500,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
30,1500,1550,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
31,1550,1600,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
32,1600,1650,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
33,1650,1700,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
34,1700,1750,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
35,1750,1800,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
36,1800,1850,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
37,1850,1900,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
38,1900,1950,29000,2025-12-12 12:01:41,2025-12-12 12:01:41
39,1950,2000,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
40,2000,2050,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
41,2050,2100,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
42,2100,2150,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
43,2150,2200,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
44,2200,2250,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
45,2250,2300,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
46,2300,2350,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
47,2350,2400,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
48,2400,2450,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
49,2450,2500,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
50,2500,2550,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
51,2550,2600,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
52,2600,2650,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
53,2650,2700,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
54,2700,2750,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
55,2750,2800,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
56,2800,2850,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
57,2850,2900,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
58,2900,2950,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
59,2950,3000,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
60,3000,3050,28000,2025-12-12 12:01:41,2025-12-12 12:01:41
61,3050,3100,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
62,3100,3150,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
63,3150,3200,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
64,3200,3250,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
65,3250,3300,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
66,3300,3350,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
67,3350,3400,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
68,3400,3450,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
69,3450,3500,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
70,3500,3550,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
71,3550,3600,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
72,3600,3650,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
73,3650,3700,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
74,3700,3750,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
75,3750,3800,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
76,3800,3850,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
77,3850,3900,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
78,3900,3950,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
79,3950,4000,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
80,4000,4050,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
81,4050,4100,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
82,4100,4150,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
83,4150,4200,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
84,4200,4250,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
85,4250,4300,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
86,4300,4350,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
87,4350,4400,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
88,4400,4450,27000,2025-12-12 12:01:41,2025-12-12 12:01:41
89,4450,4500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
90,4500,4550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
91,4550,4600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
92,4600,4650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
93,4650,4700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
94,4700,4750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
95,4750,4800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
96,4800,4850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
97,4850,4900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
98,4900,4950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
99,4950,5000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
100,5000,5050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
101,5050,5100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
102,5100,5150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
103,5150,5200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
104,5200,5250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
105,5250,5300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
106,5300,5350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
107,5350,5400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
108,5400,5450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
109,5450,5500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
110,5500,5550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
111,5550,5600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
112,5600,5650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
113,5650,5700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
114,5700,5750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
115,5750,5800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
116,5800,5850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
117,5850,5900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
118,5900,5950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
119,5950,6000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
120,6000,6050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
121,6050,6100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
122,6100,6150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
123,6150,6200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
124,6200,6250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
125,6250,6300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
126,6300,6350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
127,6350,6400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
128,6400,6450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
129,6450,6500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
130,6500,6550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
131,6550,6600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
132,6600,6650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
133,6650,6700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
134,6700,6750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
135,6750,6800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
136,6800,6850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
137,6850,6900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
138,6900,6950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
139,6950,7000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
140,7000,7050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
141,7050,7100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
142,7100,7150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
143,7150,7200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
144,7200,7250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
145,7250,7300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
146,7300,7350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
147,7350,7400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
148,7400,7450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
149,7450,7500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
150,7500,7550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
