id,price_min,price_max,threshold_amount,discount_amount,discount_rate,discount_strength,priority,config_id,config_name,status,discount_type,created_at,updated_at
1,0,400,500,100,,8000,1,C001,超低价满减1,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
2,400,599,800,150,,8125,1,C002,超低价满减2,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
3,599,650,900,200,,7778,1,C003,超低价满减3,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
4,650,740,1000,300,,7000,1,C004,超低价满减4,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
5,740,850,1100,400,,6364,1,C005,超低价满减5,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
6,850,1000,1300,600,,5385,1,C006,超低价满减6,启用,满减,2025-12-12 12:01:41,2025-12-12 12:01:41
7,1000,1300,,100,8000,8000,1,C007,超低价满减7,启用,折扣,2025-12-12 12:01:41,2025-12-12 12:01:41
8,1300,1500,,100,8000,8000,1,C008,超低价满减8,启用,折扣,2025-12-12 12:01:41,2025-12-12 12:01:41
9,1500,2500,,100,8000,8000,2,C009,低价折扣,启用,折扣,2025-12-12 12:01:41,2025-12-12 12:01:41
10,2500,10000,,100,8000,8000,4,C010,高价折扣,启用,折扣,2025-12-12 12:01:41,2025-12-12 12:01:41
11,10000,999900,,100,8000,8000,5,C011,高客单满减,启用,折扣,2025-12-12 12:01:41,2025-12-12 12:01:41
