id,price_min,price_max,range_name,target_last_digit,max_change_rate,price_level,created_at,updated_at
1,0,100,超低价1,9,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
2,100,150,超低价2,9,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
3,150,200,超低价3,9,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
4,200,250,超低价4,9,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
5,250,300,超低价5,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
6,300,350,超低价6,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
7,350,400,超低价7,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
8,400,450,超低价8,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
9,450,500,超低价9,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
10,500,550,超低价10,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
11,550,600,超低价11,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
12,600,650,超低价12,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
13,650,700,超低价13,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
14,700,750,超低价14,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
15,750,800,超低价15,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
16,800,850,超低价16,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
17,850,900,超低价17,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
18,900,950,超低价18,49,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
19,950,1000,超低价19,99,1000,1,2025-12-12 12:01:41,2025-12-12 12:01:41
20,1000,2000,低价2,90,800,1,2025-12-12 12:01:41,2025-12-12 12:01:41
21,2000,3000,中价1,90,800,10,2025-12-12 12:01:41,2025-12-12 12:01:41
22,3000,5000,中价2,90,700,10,2025-12-12 12:01:41,2025-12-12 12:01:41
23,5000,8000,中价3,990,600,10,2025-12-12 12:01:41,2025-12-12 12:01:41
24,8000,10000,中价4,990,500,10,2025-12-12 12:01:41,2025-12-12 12:01:41
25,10000,20000,高价1,-100,500,10,2025-12-12 12:01:41,2025-12-12 12:01:41
26,20000,30000,高价2,-100,400,10,2025-12-12 12:01:41,2025-12-12 12:01:41
27,30000,50000,高价3,-100,300,10,2025-12-12 12:01:41,2025-12-12 12:01:41
28,50000,100000,高价4,-100,200,100,2025-12-12 12:01:41,2025-12-12 12:01:41
29,100000,500000,高价5,-100,150,100,2025-12-12 12:01:41,2025-12-12 12:01:41
